original_language,cantidad_peliculas
ab,10
af,2
am,2
ar,39
ay,1
bg,10
bm,3
bn,29
bo,2
bs,14
ca,12
cn,313
cs,130
cy,1
da,225
de,1078
el,113
en,32202
eo,1
es,992
et,24
eu,3
fa,100
fi,295
fr,2437
fy,1
gl,1
he,67
hi,508
hr,29
hu,100
hy,1
id,20
is,24
it,1528
iu,2
ja,1349
jv,1
ka,18
kk,3
kn,3
ko,444
ku,3
ky,3
la,1
lb,1
lo,2
lt,9
lv,17
mk,5
ml,36
mn,2
mr,24
ms,5
mt,1
nb,6
ne,2
nl,247
no,106
pa,2
pl,218
ps,2
pt,315
qu,1
ro,57
ru,822
rw,1
sh,5
si,1
sk,9
sl,17
sm,1
sq,5
sr,63
sv,384
ta,78
te,45
tg,1
th,76
tl,23
tr,150
uk,16
ur,8
uz,1
vi,10
wo,5
xx,33
zh,408
zu,1
